,lesion_id,memo_info
0,632099,브레이크가 많이 밀림 차량변경요청
1,636499,타이어 마모 현장조치불가판정 받았다하심
2,643025,차량내 경고등 점등되어 문의
3,648236,왼쪽 제동등 안켜짐 사진첨부
4,650366,경고등 점등되었다며 인입
5,649993,고객 브레이크 소음으로 인한 문의
6,649943,차 받았는데 내부 휘발유냄새 심함 문제있었는지
7,650066,차량 문이 안열림
8,654840,경고등 점등
9,654840,엔진소음과 주행중 떨림이 있음
10,654840,주행 떨림과 소음 심함으로 인입
11,658309,경고등 2개 점등 및 전조등 안나와서 인입
12,658628,제동등 경고등 으로 인입
13,658462,경고등 점등
14,660108,차량 변경 받으실건지 문의 OB
15,659458,라이트장애 경고등 점등
16,659840,인터넷 연결 불가 및 T맵 실행 준비중 문구 발생
17,660845,내비게이션 및 블루투스 연결도안되며 비상등도 안들어온다며 인입
18,661492,네비와 열선되지 않음
19,663225,블랙박스 메모리카드 분실되어 문의
20,663025,네비게이션 안켜짐 반납후 점검 진행 안내
21,662875,차량 문제로 추후 대차 하기로 했다고 함
22,662366,충전카드 차량내 없어 인입
23,662612,컨트롤 패드 인터넷 연결불가로 인입
24,663636,주유카드 휴게소 주유소에 두고옴 다시가기엔멀다고함
25,662959,네비게이션 소리불가로 문의 인입
26,663055,차량 내비게이션 연결 불가 인입
27,663571,재시동 후 카드를 삽입하라는 안내가 나오고 디스플레이어 창 뜨지 않음
28,663431,하이패스 이용할때 결제 안되고있음
29,663085,하이패스 고장으로 인입
30,663526,경고등이 점등되었다며 인입
31,663561,네비가 됬다 안됬다 함
32,663140,내비게이션이 쏘카 떠있는상태에서 화면이 멈춰있다고 인입
33,663522,후방카메라안됨문의
34,662660,하이패스 이용시 미등록차량으로나옴으로인입
35,662552,타이어쪽 소음으로 긴출 조치 받았으나 문제없다고 했음 다시 이용시 소음 다시 발생
36,663961,엔진체크 경고등 점등
37,664358,하이패스 없다고 소리남
38,664052,네비게이션 안됨
39,664330,볼륨 버튼이 없음
40,664110,시동불가 문의
41,664003,고객 주유하시려는데 주유카드 없는 부분확인되어 인입
42,662089,내비고장과 관리소홀 항의
43,664333,내비게이션이 t맵 실행준비중으로만 나오고 작동 되지 않음
44,664388,현재 운행 중 모닝 브레이크 점검 필요해보임 저번 급정거 시 소리 및 브레이크 잘 안됨
45,664496,와이퍼 소름끼치는 소리가 난다 RPM 옆에 경고등 스페너경고등 있었다고함
46,664501,145호4576 더뉴아반떼 앞바퀴가 펑크나서 바람 빠짐
47,664931,차량이 없음 인입
48,665236,내비게이션 및 후방카메라 작동불가
49,665057,네비에 남은예약시간이 계속 조회중으로 뜸 예상도착시간도 너무 심하게 변동 됨
50,665858,후방카메라가 작동 안되신다고 하심
51,665996,하이패스 요금 부과안됨 요금 어떻게 정산되는지
52,666044,내비게이션 부착불량
53,665595,네비게이션 티맵작동안함 껏다켜도 안됨
54,665966,엔진오일교환필요 점등되어 문의
55,663891,내비 게이션
56,664036,내비가 아예 없다고 유입
57,665116,대차 차량존 도착
58,665055,내비게이션 인터넷열결되지않아 문의
59,665055,내비게이션 인터넷열결되지않아 문의
60,665191,내비게이션 작동안함
61,664696,차량이 이상해도 다 참고 운행중인데 하이패스 구간 지나칠때 결제 안된다고 나오는데 법인카드 사용하고있어 내일 결제가 되어야한다고 하시며 인입
62,665594,차량운행중 네비게이션 자꾸꺼지고 재부팅됨 해결방법없는지
